Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region,In USD
12/26/19,41543.80078,41543.80078,41132.89063,41163.76172,41163.76172,5600,India,535.1289024
12/27/19,41297.07813,41611.26953,41264.92188,41575.14063,41575.14063,6100,India,540.4768282
12/30/19,41686.26953,41714.73047,41453.37891,41558,41558,5700,India,540.254
12/31/19,41607.48828,41607.48828,41184.73047,41253.73828,41253.73828,5600,India,536.2985976
1/1/20,41340.26953,41649.28906,41328.44922,41626.64063,41626.64063,5300,India,541.1463282
1/2/20,41340.26953,41649.28906,41328.44922,41626.64063,41626.64063,5300,India,541.1463282
1/3/20,41634.51172,41636.17969,41348.67969,41464.60938,41464.60938,8900,India,539.0399219
1/6/20,41378.33984,41378.33984,40613.96094,40676.62891,40676.62891,8700,India,528.7961758
1/7/20,40983.03906,41230.14063,40727.37109,40869.46875,40869.46875,11900,India,531.3030938
1/8/20,40574.82813,40866.35938,40476.55078,40817.73828,40817.73828,18200,India,530.6305976
1/9/20,41216.67188,41482.12109,41175.71875,41452.35156,41452.35156,7800,India,538.8805703
1/10/20,41568.19922,41775.10938,41447.80078,41599.71875,41599.71875,13200,India,540.7963438
1/13/20,41788.21094,41899.62891,41720.76172,41859.69141,41859.69141,10600,India,544.1759883
1/14/20,41883.08984,41994.26172,41770.89844,41952.62891,41952.62891,14100,India,545.3841758
1/15/20,41969.85938,41969.85938,41648.10938,41872.73047,41872.73047,6100,India,544.3454961
1/16/20,41924.73828,42059.44922,41812.28125,41932.55859,41932.55859,6600,India,545.1232617
1/17/20,41929.01953,42063.92969,41850.28906,41945.37109,41945.37109,9500,India,545.2898242
1/20/20,42263,42273.87109,41503.37109,41528.91016,41528.91016,7500,India,539.8758321
1/21/20,41487.57031,41532.58984,41294.30078,41323.80859,41323.80859,8900,India,537.2095117
1/22/20,41467.12891,41532.28906,41059.03906,41115.37891,41115.37891,7700,India,534.4999258
1/23/20,41191.5,41413.96094,41098.91016,41386.39844,41386.39844,9900,India,538.0231797
1/24/20,41377.03906,41697.03125,41275.60156,41613.19141,41613.19141,6600,India,540.9714883
1/27/20,41510.67969,41516.26953,41122.48047,41155.12109,41155.12109,7000,India,535.0165742
1/28/20,41299.67969,41333.25,40869.75,40966.85938,40966.85938,9800,India,532.5691719
1/29/20,41131.57031,41334.85938,41108.19141,41198.66016,41198.66016,7800,India,535.5825821
1/30/20,41380.14063,41380.14063,40829.91016,40913.82031,40913.82031,6700,India,531.879664
1/31/20,41146.55859,41154.48828,40671.01172,40723.48828,40723.48828,11500,India,529.4053476
2/3/20,39701.01953,40014.89844,39563.07031,39872.30859,39872.30859,10600,India,518.3400117
2/4/20,40178.73828,40818.94141,40117.46094,40789.37891,40789.37891,15300,India,530.2619258
2/5/20,40921.71094,41177,40703.32031,41142.66016,41142.66016,13900,India,534.8545821
2/6/20,41209.12891,41405.42969,41113.10938,41306.03125,41306.03125,15000,India,536.9784063
2/7/20,41394.41016,41394.41016,41073.35938,41141.85156,41141.85156,15300,India,534.8440703
2/10/20,41166.71875,41172.05859,40798.98047,40979.62109,40979.62109,15200,India,532.7350742
2/11/20,41183.39063,41444.33984,41179.14063,41216.14063,41216.14063,7700,India,535.8098282
2/12/20,41330.85156,41671.85938,41330.85156,41565.89844,41565.89844,9600,India,540.3566797
2/13/20,41707.21094,41709.30078,41338.30859,41459.78906,41459.78906,9100,India,538.9772578
2/14/20,41510.19141,41702.35938,41183.12891,41257.73828,41257.73828,9800,India,536.3505976
2/17/20,41324.03906,41420.33984,41030.57813,41055.69141,41055.69141,6900,India,533.7239883
2/18/20,41042.46094,41042.46094,40610.94922,40894.37891,40894.37891,12300,India,531.6269258
2/19/20,41121.51172,41357.16016,41048.92969,41323,41323,5600,India,537.199
2/20/20,41334.96094,41399.92969,41134.30859,41170.12109,41170.12109,8400,India,535.2115742
2/24/20,41037.01172,41037.01172,40306.35938,40363.23047,40363.23047,8100,India,524.7219961
2/25/20,40497.71875,40536,40220.58984,40281.19922,40281.19922,7300,India,523.6555899
2/26/20,40194.89063,40255.39063,39760.39063,39888.96094,39888.96094,9000,India,518.5564922
2/27/20,39947.80078,39947.80078,39423.26953,39745.66016,39745.66016,9600,India,516.6935821
2/28/20,39087.46875,39087.46875,38219.96875,38297.28906,38297.28906,12700,India,497.8647578
3/2/20,38910.94922,39083.17188,37785.98828,38144.01953,38144.01953,13400,India,495.8722539
3/3/20,38480.89063,38754.23828,38142.30078,38623.69922,38623.69922,10600,India,502.1080899
